標題,頻道,片長,連結,搜尋來源,簡介
【生成式人工智慧與機器學習導論2025】第 6 講：一堂課搞懂訓練類神經網路的各種訣竅,Hung-yi Lee,2:06:26,https://www.youtube.com/watch?v=mPWvAN4hzzY,李弘毅 machine learning,投影片請見課程網頁：https://speech.ee.ntu.edu.tw/~hylee/GenAI-ML/2025-fall.php 影片剪輯：李一駿助教16:29 到56:30 間的範例 ...
【生成式人工智慧與機器學習導論2025】第 7 講：大型語言模型的學習歷程,Hung-yi Lee,1:58:35,https://www.youtube.com/watch?v=YJoegm7kiUM,李弘毅 人工智慧,"封面圖片來源：https://mygo.miyago9267.com/ 影片剪輯：李一駿助教延伸閱讀概述增強式學習(Reinforcement Learning, RL): ..."
"【生成式人工智慧與機器學習導論2025】第 8 講：通用模型的終身學習 (Fine-tuning, Model Editing, Model Merging, Test-Time Training)",Hung-yi Lee,2:00:11,https://www.youtube.com/watch?v=EnWz5XuOnIQ,李弘毅 人工智慧,課程網頁：https://speech.ee.ntu.edu.tw/~hylee/GenAI-ML/2025-fall.php 本課程內容中提到使用Gradient Descent 微調參數、Model ...
【生成式人工智慧與機器學習導論2025】第3講：解剖大型語言模型,Hung-yi Lee,2:04:44,https://www.youtube.com/watch?v=8iFvM7WUUs8,李弘毅 人工智慧,課程投影片請見課程網頁：https://speech.ee.ntu.edu.tw/~hylee/GenAI-ML/2025-fall.php 影片剪輯：李一駿助教1:21:40 開始 ...
【生成式人工智慧與機器學習導論2025】第１講：一堂課搞懂生成式人工智慧的原理,Hung-yi Lee,1:45:15,https://www.youtube.com/watch?v=TigfpYPJk1s,李弘毅 AI,投影片請見課程網頁：https://speech.ee.ntu.edu.tw/~hylee/GenAI-ML/2025-fall.php 47:50 所用的colab ...
加快語言模型生成速度 (2/2)：KV Cache,Hung-yi Lee,38:34,https://www.youtube.com/watch?v=fDQaadKysSA,李弘毅 人工智慧,影片剪輯：李一駿助教課程投影片都可以在公開的課程網頁上找到https://speech.ee.ntu.edu.tw/~hylee/ml/2026-spring.php 先備 ...
解剖小龍蝦 — 以 OpenClaw 為例介紹 AI Agent 的運作原理,Hung-yi Lee,1:23:17,https://www.youtube.com/watch?v=2rcJdFuNbZQ,李弘毅 AI,教學怪物競賽https://teaching.monster/ 背景知識：語言模型基本原理https://youtu.be/TigfpYPJk1s?si=Vq73vVihiP67EYdZ 6:15 此處 ...
AI時代，你跟上了嗎？｜李宏毅｜人文講堂｜完整版 20231209,大愛人文講堂,24:01,https://www.youtube.com/watch?v=iqaiPyvDD4Y,李弘毅 AI,打開手機、電腦、電視，甚至走在路上，幾乎都能看到或聽到AI相關訊息。AI如同狂潮般席捲而來，但，你跟上它的腳步了嗎？
【AI EP3】台大電機教授李宏毅的挑戰書 20分鐘聽懂AI模型！｜投資聊一SHOT ft.#李宏毅 ‪20250805完整版 ‪@vlmoney,緯來財經,19:02,https://www.youtube.com/watch?v=wE3oTZLijsI,李宏毅 AI,台大電機系李宏毅老師表示，今天很多地方都在講AI Agent，認為應該建立一個AI Agent分級的觀念，就像自駕車也有不同的等級， ...
"這堂課有""錢""景! 台大AI課程搶爆還以為追星  搶修破千人!李宏毅靠AI課圈粉 YT訂閱破32萬｜非凡財經新聞｜20250728",USTV 非凡電視,2:44,https://www.youtube.com/watch?v=4LDS6GBKcAY,李弘毅 machine learning,下載非凡新聞ＡＰＰ看更多：https://reurl.cc/jr7A5p ※下載非凡商業ＡＰＰ學理財：https://reurl.cc/oYLj9j AI界網紅─台大電機系教授 ...
