縣市,作品名稱,組別,科別,原始連結,狀態,備註
高雄市,堰塞湖不同土石粒徑組成之穩定性及溢流、潰壩氾濫區域差別性之探討,國中組,地球科學科,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,入圍前三名,官方PDF未明示是否推薦全國科展；學校=五福國中（苓雅區）；另列團隊合作獎
高雄市,「尼」搖得「震」好–自給電阻尼器之可行性探討,國中組,地球科學科,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,入圍前三名,官方PDF未明示是否推薦全國科展；學校=後勁國中（楠梓區）；另列創意獎
高雄市,智取黑潮：具備主動式生態防護之垂直軸洋流發電系統開發,國中組,地球科學科,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,入圍前三名,官方PDF未明示是否推薦全國科展；學校=陽明國中（三民區）；另列探究精神獎
高雄市,新化斷層微地形與土壤及植被探究,國中組,地球科學科,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,入圍前三名,官方PDF未明示是否推薦全國科展；學校=路竹高中（路竹區）
