縣市,作品名稱,組別,科別,原始連結,狀態,備註
新竹市,呆若木「雞」—新竹市大湖里龍眼雞族群監測及生態之研究,國小組,生物科,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁「▲送第66屆全國科展名單（6件）」
新竹市,基於電腦視覺與物聯網技術之智慧坐姿偵測與遠端回饋系統研製,國中組,生活與應用科學科(一)機電與資訊,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名；屬國中組
新竹市,「第」造鮮境：第倫桃果膠生物可分解保鮮薄膜之探究—配方比例對成膜性質與功能性的影響,國小組,生活與應用科學科(二),https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名
新竹市,仙草的華麗變身：分析仙草多醣薄膜特性與異質多醣凝膠的交互作用,國中組,化學科,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名；屬國中組
新竹市,會說話的電線,國小組,生活與應用科學科(三),https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名
新竹市,從五方連看一刀剪,國中組,數學科,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名；屬國中組
