縣市,作品名稱,組別,科別,原始連結,狀態,備註
金門縣,"肌密大公開：pH5.5洗沐用品的去油力與溫和度大對決",國小組,化學科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,蚵路旁的紅寶石：金門裸花鹼蓬的微棲地群聚護衛與紅化機制探討,國小組,"生物科、農業與食品科",https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,吸管戲法-以馬格努斯效應初探吸管在空中的運動軌跡,國中組,"物理科、物理與天文學科",https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,請再給我一間便利商店吧！找出金門便利商店最佳拓點,國中組,"生活與應用科學科(一)、工程學科（一）、電腦與資訊學科",https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,十二點圓到六點線─日本定理的延伸思考,高級中等學校組,數學科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,以校園望遠鏡觀測WASP-33b的光變,高級中等學校組,"地球科學科、地球與行星科學科",https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,「虻」裡偷閒,高級中等學校組,"生物科、農業與食品科",https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,一「丸」打盡，蔬果貢丸,高級中等學校組,"生活與應用科學科(二)・農業與食品學科",https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
