縣市,作品名稱,組別,科別,原始連結,狀態,備註
新竹縣,「格」外來「點」-格點與三角形之幾何關係探討,國中組,數學科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,微小作用力的可視化：親疏水性對Cheerios effect之影響研究,國小組,物理科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,綠豆的相思，相機照得住。,國小組,化學科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,內建防禦機制-蟲菌穴的防護效益分析,國中組,生物科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,「隕」落城市？新竹地區磁性岩石探討—以蓮花寺周邊為例,國中組,地球科學科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽；國中組地球科學科
新竹縣,旋律暗藏的祕密：結合音樂與超聲波的隱密傳輸,國小組,生活與應用科學科(一),https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,「客」製化強韌!—運用在地智慧改良鳳梨手抄紙之研究,國小組,生活與應用科學科(三),https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
