縣市,作品名稱,組別,科別,原始連結,狀態,備註
宜蘭縣,四方連塊拼圖問題之研究,國中組,數學,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,探討過氧化氫回收銅的可行性,國中組,化學,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,危機蟲蟲：基於 Inception V3 的害蟲影像辨識與數據優化研究,國中組,生活與應用科學科（一）,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,田間福壽螺大作戰－環保趨避防治策略研究,國中組,生活與應用科學科（三）,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,浮光流轉－走馬燈探究,國小組,物理,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,從「碟仙」到「梅杜莎」－海月水母碟狀體飼養之探討,國小組,生物,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
