縣市,作品名稱,組別,科別,原始連結,狀態,備註
嘉義市,"「數」途同歸-矩形棋盤不同填數規則之不動點幾何規律探究",國中組,數學科,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,PDF內列為推薦參加第66屆全國科展
嘉義市,"雨神同行!台灣季節性降雨與地震頻率的相關性",國中組,地球科學科,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,國中組／地球科學科；學校為嘉義市立嘉義國民中學
嘉義市,以座標轉換為核心的遊戲機設計與實作,國中組,生活與應用科學科(一)(機電與資訊),http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉義市立玉山國民中學
嘉義市,植物精油應用於抑制 penicillium sp.青黴菌研究,國中組,生活與應用科學科(二)(含生物科技/食品科學),http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉華中學國中部
嘉義市,一張紙抓出錳？用手機B值打造水中Mn(II)的口袋實驗室,國小組,化學科,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉義市民族國小
嘉義市,點沙成石，鈣起來：阿里山砂頁岩互層MICP礦化處理之抗剪強度提升與抗蝕表現,國小組,地球科學科,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉義市崇文國小
嘉義市,"「蠟」麼厲害！可控溫3D列印蠟槍與環保蠟條之研究",國小組,生活與應用科學科(三)(含化學工程/環境科學),http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉義市世賢國小
